Nb;CostH1yr;CostMRR1yr;CostYRR1yr;CostH3yr;CostMRR3yr;CostYRR3yr1yr;CostYRR3yr;ODH;ODMRR;ODYRR;SnapG/M;gp2G/M;gp3G/M;io1G/M;st1G/M;s3<50T;s3<450T;s3>500T;glacierG/M;Ec2Type;CPU;RAM;SAPS;Hana;S/4;BW/4;PROD;OS;Region Code;Region Name
48;0,3026;220,86;2650,34;0,2185;159,52;1914,25;5742,75;0,5058;369,26;4431,1;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c6id.2xlarge;8;16;11799;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
49;4,072;2972,56;35670,68;2,8033;2046,39;24556,72;73670,17;6,4891;4737,03;56844,34;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c6id.32xlarge;128;256;188780;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
50;0,5538;404,3;4851,65;0,3908;285,31;3423,76;10271,29;0,9047;660,44;7925,32;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c6id.4xlarge;16;32;23598;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
51;1,0564;771,2;9254,35;0,7355;536,89;6442,71;19328,14;1,7025;1242,81;14913,75;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c6id.8xlarge;32;64;47195;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
52;0,0842;61,48;737,74;0,0623;45,5;546,02;1638,05;0,1479;107,96;1295,53;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c6id.large;2;4;2950;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
53;0,1684;122,95;1475,41;0,1247;91;1092,04;3276,11;0,2476;180,76;2169,08;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;c6id.xlarge;4;8;5899;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
54;3,8365;2800,67;33608,03;2,4667;1800,7;21608,37;64825,12;5,6513;4125,43;49505,14;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;i3en.12xlarge;48;384;69385;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
55;7,6217;5563,86;66766,35;4,8872;3567,67;42812,01;128436,04;11,1956;8172,78;98073,39;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;i3en.24xlarge;96;768;138770;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
56;0,6819;497,8;5973,59;0,4492;327,91;3934,93;11804,78;1,031;752,63;9031,6;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;i3en.2xlarge;8;64;11564;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
57;0,9976;728,27;8739,29;0,6511;475,31;5703,77;17111,31;1,493;1089,91;13078,95;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;i3en.3xlarge;12;96;17346;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
